Address,Price,livingArea,bedrooms,bathroom
['976 Silverwood Dr'],['1300'],"['2716', '2716', '2176', '1296', '1576', '1001', '1048', 'null', '1128', '939']","['4', '4', '4', '2', '4', '3', '3', '0', '3', '3']","['1.5', '1.5', '2', '1', '3', '2.5', '1.5', 'null', '2', '2.5']"
['9151 Trail Ct'],['1419'],"['1696', '1696', '\\""1', '1650', '1510', '1300', '1084', '1084', '1152', '1280', '1116', '1084', '1450', '1392']","['4', '4', '4', '3', '3', '3', 'null', '3', '3', '3', '3', '3', '3', '3']","['3', '3', '3', '2', '2.5', '2.5', '3', '2', '2.5', '2', '2', '2', '2', '3']"
['Bethsaida Rd'],['2000'],"['3417', '3417', '\\""3', '1656', '1276', '1920', '1348', '2166', '1868', '891', '1498']","['7', '7', '7', '3', '3', '4', '3', '4', '3', '3', '3']","['3.5', '3.5', '4', '2', '3', '2', '2', '2.5', '2', '2', '2']"
['340 Lee St'],['800'],"['896', '896', '\\""896 sqft\\""', '1030', '985', '1700', '706', 'null', '1512', 'null', 'null']","['3', '3', '3', '2', '3', '0', '2', '0', '4', '2', '0']","['1', '1', '1', '1', '1', 'null', '1', 'null', '2', '1', 'null']"
['9348 Linkside Trce'],['1235'],"['756', '756', '\\""756 sqft\\""', '1488', '1500', '1450', '1500', '648', '726', '1500', '750']","['3', '3', '3', '3', '3', '3', '4', '3', '3', '4', '4']","['2.5', '2.5', '3', '2', '2', '2.5', '3', '2.5', '2.5', '3', '3']"
['3269 Kiowa Ct'],['1345'],"['1230', '1230', '\\""1', '1176', '1148', '1176', '1148', '1176', '1148', '857', '968', '1176']","['4', '4', '4', '3', '3', '3', '3', '3', '3', '3', '3', '3']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2.5', '2.5', '2']"
['6038 Fieldcrest Dr'],['1050'],"['1101', '1101', '\\""1', '1800', '1248', '1232', '1306', 'null', '1312', '1312', 'null', 'null']","['3', '3', '3', '2', '3', '3', '3', '0', '3', '3', '0', '0']","['2', '2', '2', '2.5', '2', '2', '2', 'null', '2', '2', 'null', 'null']"
['5968 Sherwood Pl'],['1295'],"['1800', '1800', '\\""1', '1101', '1243', '1274', '1058', '1800', 'null', '1734', '1800', 'null', 'null', 'null', '1734']","['2', '2', '2', '3', '3', '3', '3', '2', '2', '2', '2', '7', '1', '2', '2']","['2.5', '2.5', '3', '2', '2', '2', '2.5', '2.5', '1', '1', '2.5', 'null', '1', '2.5', '3']"
['7762 Briar Forest Ln'],['1625'],"['1977', '1977', '\\""1', '1530', '1388', '771', '1414', '1500', '1281', '1426', '910', '725']","['4', '4', '4', '3', '3', '3', '3', '4', '3', '3', '3', '3']","['2', '2', '2', '2.5', '2', '2.5', '2', '3', '3', '2', '2.5', '2.5']"
['4060 John Arnold Cir'],['850'],"['855', '855', '\\""855 sqft\\""', 'null', '1711', '1711', '855', 'null', 'null', 'null', '1711']","['2', '2', '2', '0', '0', '4', '0', '0', '2', 'null', '4']","['1', '1', '1', 'null', 'null', '2', 'null', 'null', '1', 'null', '2']"
