Address,Price,livingArea,bedrooms,bathroom
['707 Pine Tree Trl'],['1300'],"['1118', '1118', '\\""1', '1392', '1118', '1380', '1394', '1180', '1466', '1466', '1392', '1466']","['2', '2', '2', '4', '3', '4', '4', '3', '3', '3', '3', '3']","['2', '2', '2', '2', '2.5', '2', '2', '2.5', '2.5', '3', '2.5', '2.5']"
['761 Saint Charles Ave NE'],['695'],"['1000', '1000', '\\""1', '800', '1790', '800', 'null', 'null', '1003', '1330', '1519', '600', '750', '750', '1400', '675', '675', '600', '675']","['0', '0', '0', '2', '3', '1', '3', '3', '2', '2', '3', '1', '1', '1', '3', '0', '0', '0', '0']","['1', '1', '1', '1', '2', '1', '4', '2.5', '2', '2', '2', '1', '1', '1', '2', '1', '1', '1', '1']"
['11 The Prad NE'],['1375'],"['700', '700', '\\""700 sqft\\""', '830', 'null', '720', '666', '720', '802', '802', '1370', '1600', '1350', '2888', '1869', '2939', 'null', '3841', '3744']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '3', '3', '3', '4', 'null', '4', '4']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '3', '2', '3', 'null', '4', '4']"
['717 Piedmont Ave NE'],['2850'],"['750', '750', '\\""750 sqft\\""', '790', '950', '750', '750', '1200', '800', '805', '700', '3302', 'null', 'null', '5276', '750', '850', '750']","['1', '1', '1', '1', '1', '1', '1', '3', '1', '1', '1', '4', 'null', 'null', 'null', '1', '2', '1']","['1', '1', '1', '1', '1', '1', '1', '2', '1', '1', '1', '4', 'null', 'null', 'null', '1', '1', '1']"
['322 Breeze Mdw'],['1325'],"['1458', '1458', '\\""1', 'null', '1526', '1216', '2100', '1964', '1245', '1772', '1214']","['3', '3', '3', '3', '3', '3', '4', '3', '5', '3', '5']","['2', '2', '2', '2', '2', '2', '2.5', '2.5', '3', '2.5', '2.5']"
['606 Little Bear Dr'],['850'],"['900', '900', '\\""900 sqft\\""', '900', '900', '900', '900', '900', '900', '900', '900']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
['525 Towergate Pl'],['1700'],"['1822', '1822', '\\""1', '1536', '1672', '1326', 'null', '1600', '1468', 'null', '1900', '1688', '1750', '1822', '1700', '1640']","['2', '2', '2', '2', '2', '2', '2', '3', '2', '2', '3', '3', '3', '3', '2', '2']","['2', '2', '2', '2.5', '2.5', '2', '2', '2.5', '3', '3', '2', '2.5', '2.5', '2.5', '2.5', '3']"
['893 Fairburn Rd SW'],['1300'],"['1534', '1534', '\\""1', '1224', '1800', '1224', '1224', '1500', '1224', '1500', '1224']","['4', '4', '4', '3', '3', '3', '3', '3', '3', '3', '3']","['2', '2', '2', '2.5', '2', '2.5', '2.5', '2', '2.5', '2', '3']"
['326 Nelson St SW'],['1750'],"['1233', '1233', '\\""1', '828', '1196', '730', '1007', '1196', '980', '967', '1725', '673', '1041', '1321', '1233', '1335', '1041', '1490', '1210']","['2', '2', '2', '1', '1', '1', '2', '2', '1', '2', '2', '1', '2', '2', '1', '2', '2', '3', '2']","['1', '1', '1', '1', '1', '1', '1', '2', '1.5', '2', '1.5', '1', '1', '2', '1', '1', '1', '2', '1']"
['3860 Wisteria Ln SW'],['1250'],"['1107', '1107', '\\""1', '1107', '1126', '1107', '1080', '1004', '1107', '1000', '1808']","['3', '3', '3', '3', '2', '3', '3', '2', '3', '3', '2']","['1', '1', '1', '3', '2', '1', '1', '1.5', '1', '1', '2']"
['312 Fairburn Rd NW'],['1195'],"['1050', '1050', '\\""1', '1050', '1050', '1050', '1125', '1146', '1092', '897', '1050', '1050', '1050', '1050', '1050']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '2', '3']","['1', '1', '1', '1', '1', '1', '1', '1.5', '1', '1', '1', '1', '1', '1', '2']"
['1471 Almont Dr SW'],['1325'],"['1132', '1132', '\\""1', '768', '1092', '1600', '1401', '1059', '1425', '977', '1128', '965', '1022', '1051', '1102', 'null', 'null', '1274', 'null']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '2', '2', '2', '3', '3', '3', 'null', 'null', '3', 'null']","['2', '2', '2', '2', '1', '2', '1.5', '1', '1', '1', '1', '1', '1', '1', '2', 'null', 'null', '2', 'null']"
['10450 Belladrum'],['21000'],"['14943', '14943', '\\""14', '14943', '4704', '5383', '11757', '11030', '6891', '6891', '4800']","['6', '6', '6', '6', '3', '4', '6', '7', '6', '6', '5']","['5', '5', '5', '7', '3', '4.5', '9', '10', '7', '8', '5']"
['2405 Old Colony Rd'],['1795'],"['2322', '2322', '\\""2', '1199', '1364', '1275', '1532', '1366', '1971', '1156', '1334', '1380', '3266', '1150', '1156', '1620']","['4', '4', '4', '4', '3', '3', '3', '3', '4', '2', '3', '2', '5', '3', '4', '3']","['3', '3', '3', '2', '1.5', '1', '2', '1.5', '3', '1.5', '2', '1', '2.5', '2', '1.5', '2']"
['913 Ormewood Ave SE'],['2100'],"['1644', '1644', '\\""1', '1490', '1100', '1317', '1268', '2707', '1344', '1992', '1118', '1196', '1423', '918', '1032', '2136', '1490', '840', '1332']","['3', '3', '3', '3', '2', '3', '2', '4', '3', '2', '3', '3', '3', '2', '4', '4', '3', '4', '3']","['2', '2', '2', '2', '1', '2', '2', '3', '1', '1', '2', '2', '2.5', '2', '4', '4', '3', '4', '2']"
